rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,8.59,1.2953,0.7109,0.0878,0.1599,0.0,0.014,0.007,0.161,0.002,0.03,18.887,0.03,7509.0,0.1297
1000.0,8.98,1.3542,0.7004,0.0766,0.1481,0.0,0.013,0.006,0.149,0.001,0.026,17.799,0.03,7589.0,0.1142
1000.0,9.37,1.413,0.6779,0.065,0.1354,0.0,0.012,0.005,0.137,0.001,0.022,16.509,0.03,7671.0,0.0976
1000.0,9.76,1.4719,0.6387,0.0529,0.1219,0.0,0.01,0.004,0.123,0.001,0.018,14.932,0.03,7756.0,0.0796
1000.0,10.15,1.5308,0.5757,0.0405,0.1077,0.0,0.009,0.003,0.109,0.001,0.014,12.941,0.03,7842.0,0.0604
1000.0,10.54,1.5897,0.4771,0.0279,0.0931,0.0,0.008,0.002,0.094,0.001,0.01,10.329,0.03,7931.0,0.04
1000.0,10.93,1.6485,0.3222,0.0152,0.078,0.0,0.007,0.001,0.079,0.001,0.005,6.726,0.03,8022.0,0.0193
1000.0,11.32,1.7074,0.0701,0.0026,0.0627,0.0,0.005,0.0,0.063,0.001,0.001,1.412,0.03,8115.0,0.0017
2000.0,0.0,0.0,0.0,0.1496,0.138,0.001,0.047,0.046,1.113,0.005,0.204,18.651,0.06,13077.0,0.3345
2000.0,0.79,0.0598,0.0643,0.1492,0.1388,0.002,0.047,0.046,1.12,0.005,0.203,18.498,0.06,13101.0,0.3313
2000.0,1.59,0.1197,0.1273,0.1489,0.1399,0.002,0.048,0.046,1.129,0.005,0.203,18.311,0.06,13130.0,0.3277
2000.0,2.38,0.1795,0.1887,0.1488,0.1415,0.002,0.048,0.046,1.142,0.005,0.203,18.086,0.06,13163.0,0.3235
2000.0,3.17,0.2393,0.2479,0.1487,0.1436,0.002,0.049,0.046,1.158,0.006,0.202,17.82,0.06,13203.0,0.3187
2000.0,3.97,0.2991,0.3045,0.1488,0.1462,0.002,0.05,0.046,1.179,0.006,0.203,17.512,0.06,13249.0,0.3132
2000.0,4.76,0.359,0.358,0.1489,0.1493,0.002,0.051,0.046,1.204,0.006,0.203,17.162,0.06,13302.0,0.3071
2000.0,5.55,0.4188,0.4083,0.149,0.1529,0.002,0.052,0.046,1.234,0.006,0.203,16.773,0.06,13361.0,0.3003
2000.0,6.35,0.4786,0.4548,0.1492,0.157,0.002,0.054,0.046,1.267,0.006,0.203,16.35,0.06,13427.0,0.2929
2000.0,7.14,0.5384,0.4975,0.1493,0.1615,0.002,0.055,0.046,1.303,0.006,0.203,15.897,0.06,13500.0,0.2848
2000.0,7.93,0.5983,0.5363,0.1491,0.1664,0.002,0.057,0.046,1.342,0.006,0.203,15.422,0.06,13580.0,0.2762
2000.0,8.72,0.6581,0.5711,0.1487,0.1714,0.002,0.058,0.046,1.383,0.007,0.202,14.932,0.06,13667.0,0.267
2000.0,9.52,0.7179,0.6023,0.1479,0.1763,0.002,0.06,0.045,1.422,0.007,0.201,14.435,0.06,13761.0,0.2574
2000.0,10.31,0.7777,0.63,0.1465,0.1809,0.002,0.062,0.045,1.459,0.007,0.199,13.936,0.06,13863.0,0.2474
2000.0,11.1,0.8376,0.6545,0.1444,0.1848,0.002,0.063,0.044,1.491,0.007,0.197,13.444,0.06,13971.0,0.2369
2000.0,11.9,0.8974,0.6762,0.1413,0.1876,0.002,0.064,0.043,1.513,0.007,0.192,12.964,0.06,14086.0,0.226
2000.0,12.69,0.9572,0.6955,0.1371,0.1887,0.002,0.064,0.042,1.522,0.007,0.187,12.501,0.06,14208.0,0.2146
2000.0,13.48,1.017,0.7128,0.1315,0.1876,0.002,0.064,0.04,1.514,0.007,0.179,12.059,0.06,14337.0,0.2028
2000.0,14.28,1.0769,0.7283,0.1245,0.1841,0.002,0.063,0.038,1.486,0.007,0.17,11.636,0.06,14473.0,0.1904
2000.0,15.07,1.1367,0.7415,0.1163,0.1783,0.002,0.061,0.036,1.438,0.007,0.158,11.224,0.06,14615.0,0.1775
2000.0,15.86,1.1965,0.7516,0.107,0.1703,0.002,0.058,0.033,1.374,0.007,0.146,10.808,0.06,14763.0,0.164
2000.0,16.66,1.2564,0.7574,0.0968,0.1606,0.002,0.055,0.03,1.296,0.006,0.132,10.373,0.06,14916.0,0.1497
2000.0,17.45,1.3162,0.7572,0.0859,0.1494,0.002,0.051,0.026,1.205,0.006,0.117,9.898,0.06,15075.0,0.1346
2000.0,18.24,1.376,0.7486,0.0745,0.137,0.001,0.047,0.023,1.105,0.005,0.101,9.361,0.06,15238.0,0.1185
2000.0,19.04,1.4358,0.7285,0.0627,0.1235,0.001,0.042,0.019,0.996,0.005,0.085,8.73,0.06,15407.0,0.1013
2000.0,19.83,1.4957,0.6918,0.0505,0.1092,0.001,0.037,0.015,0.881,0.004,0.069,7.958,0.06,15580.0,0.0829
2000.0,20.62,1.5555,0.6297,0.0381,0.0941,0.001,0.032,0.012,0.759,0.004,0.052,6.966,0.06,15758.0,0.063
2000.0,21.42,1.6153,0.5269,0.0256,0.0784,0.001,0.027,0.008,0.633,0.003,0.035,5.612,0.06,15940.0,0.0416
2000.0,22.21,1.6751,0.3514,0.0131,0.0623,0.001,0.021,0.004,0.503,0.002,0.018,3.609,0.06,16127.0,0.0191
2000.0,23.0,1.735,0.0262,0.0007,0.046,0.0,0.016,0.0,0.371,0.002,0.001,0.26,0.06,16317.0,0.0003
3000.0,0.0,0.0,0.0,0.1499,0.1336,0.005,0.102,0.103,3.637,0.012,0.459,12.876,0.08,19616.0,0.3468
3000.0,1.2,0.0602,0.067,0.1496,0.1344,0.005,0.103,0.103,3.659,0.012,0.458,12.769,0.08,19652.0,0.3435
3000.0,2.39,0.1204,0.1327,0.1493,0.1356,0.005,0.104,0.103,3.691,0.012,0.457,12.638,0.08,19695.0,0.3397
3000.0,3.59,0.1806,0.1965,0.1492,0.1372,0.005,0.105,0.103,3.735,0.012,0.457,12.478,0.08,19746.0,0.3353
3000.0,4.79,0.2408,0.258,0.1492,0.1393,0.005,0.107,0.103,3.793,0.012,0.457,12.289,0.08,19806.0,0.3302
3000.0,5.99,0.3011,0.3168,0.1493,0.1419,0.005,0.109,0.103,3.864,0.012,0.457,12.069,0.08,19876.0,0.3244
3000.0,7.18,0.3613,0.3722,0.1495,0.1451,0.005,0.111,0.103,3.951,0.013,0.458,11.819,0.08,19955.0,0.3179
3000.0,8.38,0.4215,0.4241,0.1497,0.1488,0.005,0.114,0.103,4.052,0.013,0.459,11.541,0.08,20045.0,0.3106
3000.0,9.58,0.4817,0.4719,0.1499,0.153,0.006,0.117,0.103,4.166,0.013,0.459,11.238,0.08,20145.0,0.3027
3000.0,10.78,0.5419,0.5157,0.15,0.1576,0.006,0.121,0.103,4.292,0.014,0.459,10.915,0.08,20256.0,0.2941
3000.0,11.97,0.6021,0.5552,0.1499,0.1626,0.006,0.125,0.103,4.427,0.014,0.459,10.577,0.08,20378.0,0.2849
3000.0,13.17,0.6623,0.5907,0.1495,0.1677,0.006,0.129,0.103,4.566,0.015,0.458,10.229,0.09,20510.0,0.2752
3000.0,14.37,0.7225,0.6222,0.1487,0.1727,0.006,0.132,0.102,4.702,0.015,0.455,9.877,0.09,20653.0,0.2649
3000.0,15.57,0.7827,0.65,0.1473,0.1774,0.006,0.136,0.101,4.83,0.015,0.451,9.525,0.09,20807.0,0.2543
3000.0,16.76,0.843,0.6746,0.1451,0.1813,0.007,0.139,0.1,4.938,0.016,0.444,9.179,0.09,20972.0,0.2432
3000.0,17.96,0.9032,0.6962,0.1419,0.1841,0.007,0.141,0.098,5.014,0.016,0.435,8.842,0.09,21147.0,0.2317
3000.0,19.16,0.9634,0.7155,0.1376,0.1852,0.007,0.142,0.095,5.044,0.016,0.421,8.519,0.09,21332.0,0.2198
3000.0,20.36,1.0236,0.7329,0.1318,0.1841,0.007,0.141,0.091,5.013,0.016,0.404,8.213,0.09,21528.0,0.2074
3000.0,21.55,1.0838,0.7485,0.1246,0.1805,0.007,0.138,0.086,4.914,0.016,0.382,7.922,0.09,21734.0,0.1945
3000.0,22.75,1.144,0.762,0.1162,0.1744,0.006,0.134,0.08,4.75,0.015,0.356,7.64,0.09,21949.0,0.1812
3000.0,23.95,1.2042,0.7726,0.1067,0.1663,0.006,0.128,0.073,4.528,0.014,0.327,7.36,0.09,22173.0,0.1672
3000.0,25.15,1.2644,0.7792,0.0964,0.1563,0.006,0.12,0.066,4.257,0.014,0.295,7.069,0.09,22406.0,0.1526
3000.0,26.34,1.3247,0.7803,0.0853,0.1449,0.005,0.111,0.059,3.945,0.013,0.261,6.757,0.09,22646.0,0.1373
3000.0,27.54,1.3849,0.7736,0.0738,0.1322,0.005,0.101,0.051,3.599,0.011,0.226,6.407,0.09,22895.0,0.1211
3000.0,28.74,1.4451,0.756,0.0619,0.1183,0.004,0.091,0.043,3.223,0.01,0.19,6.0,0.09,23150.0,0.1039
3000.0,29.93,1.5053,0.7222,0.0497,0.1036,0.004,0.079,0.034,2.821,0.009,0.152,5.503,0.09,23413.0,0.0854
3000.0,31.13,1.5655,0.6634,0.0373,0.0881,0.003,0.068,0.026,2.399,0.008,0.114,4.861,0.09,23683.0,0.0653
3000.0,32.33,1.6257,0.5621,0.0249,0.072,0.003,0.055,0.017,1.96,0.006,0.076,3.966,0.09,23959.0,0.0435
3000.0,33.53,1.6859,0.3801,0.0125,0.0554,0.002,0.043,0.009,1.509,0.005,0.038,2.586,0.09,24241.0,0.0201
3000.0,34.72,1.7461,0.0123,0.0003,0.0386,0.001,0.03,0.0,1.05,0.003,0.001,0.081,0.1,24530.0,0.0001
4000.0,0.0,0.0,0.0,0.1502,0.1309,0.011,0.179,0.184,8.452,0.02,0.818,9.865,0.11,26154.0,0.3545
4000.0,1.6,0.0604,0.0687,0.1498,0.1318,0.011,0.18,0.183,8.505,0.02,0.816,9.782,0.11,26202.0,0.3512
4000.0,3.2,0.1209,0.136,0.1496,0.133,0.012,0.181,0.183,8.582,0.02,0.815,9.68,0.11,26260.0,0.3473
4000.0,4.81,0.1813,0.2014,0.1495,0.1346,0.012,0.184,0.183,8.688,0.021,0.814,9.556,0.11,26329.0,0.3427
4000.0,6.41,0.2417,0.2644,0.1495,0.1367,0.012,0.186,0.183,8.826,0.021,0.814,9.408,0.11,26410.0,0.3374
4000.0,8.01,0.3022,0.3244,0.1497,0.1394,0.012,0.19,0.183,8.998,0.021,0.815,9.236,0.11,26503.0,0.3314
4000.0,9.61,0.3626,0.3811,0.1499,0.1426,0.012,0.195,0.183,9.205,0.022,0.816,9.041,0.11,26610.0,0.3246
4000.0,11.22,0.423,0.4339,0.1501,0.1464,0.013,0.2,0.184,9.447,0.023,0.817,8.823,0.11,26730.0,0.3171
4000.0,12.82,0.4835,0.4826,0.1503,0.1506,0.013,0.205,0.184,9.722,0.023,0.819,8.587,0.11,26865.0,0.3088
4000.0,14.42,0.5439,0.5269,0.1505,0.1553,0.013,0.212,0.184,10.024,0.024,0.819,8.335,0.11,27013.0,0.2999
4000.0,16.02,0.6043,0.567,0.1504,0.1603,0.014,0.219,0.184,10.348,0.025,0.819,8.071,0.11,27176.0,0.2903
4000.0,17.63,0.6648,0.6027,0.15,0.1655,0.014,0.226,0.184,10.681,0.025,0.817,7.8,0.11,27354.0,0.2802
4000.0,19.23,0.7252,0.6344,0.1492,0.1706,0.015,0.233,0.183,11.01,0.026,0.813,7.526,0.11,27546.0,0.2696
4000.0,20.83,0.7856,0.6623,0.1478,0.1753,0.015,0.239,0.181,11.316,0.027,0.805,7.253,0.11,27753.0,0.2586
4000.0,22.43,0.8461,0.6869,0.1456,0.1793,0.016,0.245,0.178,11.575,0.028,0.793,6.985,0.12,27974.0,0.2472
4000.0,24.04,0.9065,0.7086,0.1424,0.1821,0.016,0.248,0.174,11.757,0.028,0.775,6.725,0.12,28209.0,0.2353
4000.0,25.64,0.9669,0.7279,0.1379,0.1832,0.016,0.25,0.169,11.826,0.028,0.751,6.476,0.12,28458.0,0.2231
4000.0,27.24,1.0274,0.7452,0.132,0.182,0.016,0.248,0.162,11.75,0.028,0.719,6.24,0.12,28720.0,0.2103
4000.0,28.84,1.0878,0.7609,0.1248,0.1783,0.015,0.243,0.153,11.512,0.027,0.679,6.018,0.12,28997.0,0.1971
4000.0,30.45,1.1482,0.7747,0.1162,0.1722,0.015,0.235,0.142,11.117,0.027,0.633,5.804,0.12,29286.0,0.1835
4000.0,32.05,1.2087,0.7857,0.1066,0.164,0.014,0.224,0.131,10.584,0.025,0.58,5.592,0.12,29586.0,0.1693
4000.0,33.65,1.2691,0.7929,0.0962,0.1539,0.013,0.21,0.118,9.934,0.024,0.524,5.375,0.12,29899.0,0.1546
4000.0,35.25,1.3295,0.795,0.0851,0.1423,0.012,0.194,0.104,9.184,0.022,0.463,5.144,0.12,30221.0,0.1392
4000.0,36.85,1.39,0.7897,0.0735,0.1294,0.011,0.176,0.09,8.35,0.02,0.4,4.888,0.12,30555.0,0.1229
4000.0,38.46,1.4504,0.7741,0.0616,0.1153,0.01,0.157,0.075,7.444,0.018,0.335,4.591,0.12,30898.0,0.1057
4000.0,40.06,1.5108,0.743,0.0493,0.1003,0.009,0.137,0.06,6.477,0.015,0.269,4.231,0.12,31250.0,0.0872
4000.0,41.66,1.5713,0.6872,0.037,0.0846,0.007,0.115,0.045,5.458,0.013,0.201,3.762,0.12,31612.0,0.0671
4000.0,43.26,1.6317,0.5885,0.0246,0.0681,0.006,0.093,0.03,4.399,0.011,0.134,3.103,0.13,31982.0,0.0451
4000.0,44.87,1.6921,0.4044,0.0123,0.0513,0.004,0.07,0.015,3.309,0.008,0.067,2.056,0.13,32361.0,0.0211
4000.0,46.47,1.7526,0.0065,0.0001,0.0341,0.003,0.047,0.0,2.202,0.005,0.001,0.032,0.13,32748.0,0.0
5000.0,0.0,0.0,0.0,0.1503,0.1292,0.022,0.275,0.288,16.287,0.031,1.279,8.007,0.14,32693.0,0.3599
5000.0,2.01,0.0606,0.0699,0.15,0.13,0.022,0.277,0.287,16.391,0.031,1.276,7.94,0.14,32753.0,0.3565
5000.0,4.02,0.1212,0.1383,0.1498,0.1312,0.022,0.28,0.287,16.543,0.032,1.275,7.856,0.14,32826.0,0.3525
5000.0,6.02,0.1817,0.2048,0.1497,0.1329,0.022,0.283,0.286,16.752,0.032,1.274,7.754,0.14,32912.0,0.3479
5000.0,8.03,0.2423,0.2688,0.1498,0.135,0.023,0.288,0.286,17.023,0.033,1.274,7.633,0.14,33013.0,0.3425
5000.0,10.04,0.3029,0.3297,0.1499,0.1377,0.023,0.293,0.287,17.361,0.033,1.276,7.492,0.14,33130.0,0.3363
5000.0,12.05,0.3635,0.3872,0.1501,0.141,0.024,0.3,0.287,17.77,0.034,1.277,7.331,0.14,33264.0,0.3293
5000.0,14.06,0.4241,0.4407,0.1504,0.1447,0.024,0.308,0.288,18.246,0.035,1.28,7.152,0.14,33415.0,0.3216
5000.0,16.06,0.4847,0.49,0.1507,0.149,0.025,0.318,0.288,18.787,0.036,1.282,6.958,0.14,33584.0,0.3131
5000.0,18.07,0.5452,0.5348,0.1508,0.1538,0.026,0.328,0.288,19.384,0.037,1.283,6.75,0.14,33771.0,0.3039
5000.0,20.08,0.6058,0.5751,0.1508,0.1588,0.027,0.338,0.288,20.021,0.038,1.283,6.534,0.14,33976.0,0.2941
5000.0,22.09,0.6664,0.6111,0.1504,0.164,0.028,0.35,0.288,20.678,0.039,1.28,6.311,0.14,34199.0,0.2838
5000.0,24.1,0.727,0.6429,0.1496,0.1692,0.029,0.361,0.286,21.327,0.041,1.273,6.086,0.14,34440.0,0.2729
5000.0,26.1,0.7876,0.6709,0.1482,0.174,0.029,0.371,0.283,21.93,0.042,1.261,5.863,0.14,34699.0,0.2617
5000.0,28.11,0.8481,0.6955,0.146,0.178,0.03,0.379,0.279,22.441,0.043,1.242,5.644,0.14,34977.0,0.25
5000.0,30.12,0.9087,0.7171,0.1427,0.1809,0.031,0.385,0.273,22.8,0.044,1.214,5.431,0.14,35272.0,0.2379
5000.0,32.13,0.9693,0.7364,0.1382,0.1819,0.031,0.388,0.264,22.936,0.044,1.176,5.229,0.15,35585.0,0.2254
5000.0,34.13,1.0299,0.7538,0.1323,0.1807,0.031,0.385,0.253,22.784,0.044,1.126,5.037,0.15,35915.0,0.2124
5000.0,36.14,1.0905,0.7696,0.1249,0.177,0.03,0.377,0.239,22.314,0.043,1.063,4.857,0.15,36261.0,0.199
5000.0,38.15,1.1511,0.7835,0.1163,0.1708,0.029,0.364,0.222,21.536,0.041,0.989,4.684,0.15,36624.0,0.1852
5000.0,40.16,1.2116,0.7948,0.1066,0.1625,0.027,0.346,0.204,20.486,0.039,0.907,4.515,0.15,37002.0,0.1709
5000.0,42.17,1.2722,0.8026,0.0961,0.1523,0.026,0.325,0.184,19.204,0.037,0.818,4.342,0.15,37394.0,0.156
5000.0,44.17,1.3328,0.8054,0.085,0.1406,0.024,0.3,0.163,17.725,0.034,0.723,4.159,0.15,37799.0,0.1405
5000.0,46.18,1.3934,0.8014,0.0733,0.1275,0.022,0.272,0.14,16.078,0.031,0.624,3.958,0.15,38217.0,0.1243
5000.0,48.19,1.454,0.7874,0.0614,0.1133,0.019,0.242,0.117,14.287,0.027,0.522,3.727,0.15,38648.0,0.107
5000.0,50.2,1.5145,0.7584,0.0492,0.0982,0.017,0.209,0.094,12.374,0.024,0.418,3.446,0.15,39090.0,0.0886
5000.0,52.21,1.5751,0.7054,0.0368,0.0822,0.014,0.175,0.07,10.359,0.02,0.313,3.082,0.16,39544.0,0.0685
5000.0,54.21,1.6357,0.6094,0.0244,0.0655,0.011,0.14,0.047,8.261,0.016,0.208,2.564,0.16,40009.0,0.0464
5000.0,56.22,1.6963,0.4248,0.0121,0.0484,0.008,0.103,0.023,6.104,0.012,0.103,1.723,0.16,40484.0,0.022
5000.0,58.23,1.7569,0.0034,0.0001,0.031,0.005,0.066,0.0,3.913,0.007,0.001,0.013,0.16,40970.0,0.0
6000.0,0.0,0.0,0.0,0.1504,0.1279,0.037,0.393,0.414,27.871,0.044,1.843,6.743,0.17,39231.0,0.3639
6000.0,2.41,0.0607,0.0708,0.1501,0.1288,0.038,0.395,0.414,28.051,0.045,1.839,6.687,0.17,39304.0,0.3604
6000.0,4.83,0.1214,0.14,0.1499,0.13,0.038,0.399,0.413,28.315,0.045,1.837,6.616,0.17,39391.0,0.3564
6000.0,7.24,0.1821,0.2073,0.1499,0.1316,0.038,0.404,0.413,28.677,0.046,1.836,6.53,0.17,39495.0,0.3517
6000.0,9.65,0.2428,0.272,0.1499,0.1338,0.039,0.411,0.413,29.149,0.046,1.837,6.427,0.17,39617.0,0.3462
6000.0,12.07,0.3034,0.3337,0.1501,0.1365,0.04,0.419,0.413,29.737,0.047,1.839,6.307,0.17,39758.0,0.3399
6000.0,14.48,0.3641,0.3917,0.1504,0.1398,0.041,0.429,0.414,30.446,0.048,1.842,6.17,0.17,39919.0,0.3328
6000.0,16.9,0.4248,0.4458,0.1506,0.1436,0.042,0.441,0.415,31.275,0.05,1.846,6.018,0.17,40100.0,0.3249
6000.0,19.31,0.4855,0.4954,0.1509,0.1479,0.043,0.454,0.416,32.216,0.051,1.849,5.853,0.17,40304.0,0.3163
6000.0,21.72,0.5462,0.5406,0.1511,0.1526,0.045,0.468,0.416,33.253,0.053,1.851,5.676,0.17,40528.0,0.307
6000.0,24.14,0.6069,0.5812,0.1511,0.1577,0.046,0.484,0.416,34.362,0.055,1.851,5.492,0.17,40775.0,0.297
6000.0,26.55,0.6676,0.6173,0.1507,0.163,0.048,0.5,0.415,35.506,0.057,1.847,5.303,0.17,41044.0,0.2864
6000.0,28.96,0.7283,0.6492,0.1499,0.1682,0.049,0.516,0.413,36.637,0.058,1.837,5.113,0.17,41334.0,0.2754
6000.0,31.38,0.7889,0.6773,0.1485,0.173,0.051,0.531,0.409,37.689,0.06,1.82,4.923,0.17,41646.0,0.264
6000.0,33.79,0.8496,0.7019,0.1463,0.1771,0.052,0.543,0.403,38.581,0.061,1.792,4.738,0.17,41980.0,0.2521
6000.0,36.21,0.9103,0.7235,0.143,0.18,0.053,0.552,0.394,39.207,0.062,1.753,4.558,0.17,42336.0,0.2398
6000.0,38.62,0.971,0.7427,0.1385,0.1811,0.053,0.556,0.382,39.445,0.063,1.697,4.387,0.17,42712.0,0.2271
6000.0,41.03,1.0317,0.7602,0.1325,0.1799,0.053,0.552,0.365,39.182,0.062,1.624,4.226,0.18,43109.0,0.214
6000.0,43.45,1.0924,0.776,0.1251,0.1761,0.051,0.54,0.345,38.364,0.061,1.533,4.074,0.18,43527.0,0.2005
6000.0,45.86,1.1531,0.7901,0.1164,0.1699,0.05,0.521,0.321,37.012,0.059,1.426,3.93,0.18,43964.0,0.1865
6000.0,48.27,1.2138,0.8017,0.1067,0.1615,0.047,0.496,0.294,35.186,0.056,1.307,3.788,0.18,44418.0,0.1721
6000.0,50.69,1.2745,0.8099,0.0961,0.1513,0.044,0.464,0.265,32.954,0.052,1.178,3.645,0.18,44890.0,0.1572
6000.0,53.1,1.3351,0.8134,0.085,0.1394,0.041,0.428,0.234,30.378,0.048,1.041,3.494,0.18,45378.0,0.1417
6000.0,55.52,1.3958,0.8103,0.0733,0.1263,0.037,0.387,0.202,27.507,0.044,0.898,3.329,0.18,45881.0,0.1254
6000.0,57.93,1.4565,0.7977,0.0613,0.1119,0.033,0.343,0.169,24.384,0.039,0.751,3.141,0.18,46399.0,0.1082
6000.0,60.34,1.5172,0.7706,0.0491,0.0966,0.028,0.296,0.135,21.045,0.033,0.601,2.913,0.19,46932.0,0.0898
6000.0,62.76,1.5779,0.72,0.0367,0.0804,0.024,0.247,0.101,17.525,0.028,0.45,2.617,0.19,47478.0,0.0698
6000.0,65.17,1.6386,0.6267,0.0243,0.0636,0.019,0.195,0.067,13.861,0.022,0.298,2.193,0.19,48037.0,0.0476
6000.0,67.58,1.6993,0.4426,0.0121,0.0463,0.014,0.142,0.033,10.092,0.016,0.148,1.494,0.19,48610.0,0.0228
6000.0,70.0,1.76,0.0023,0.0,0.0288,0.008,0.088,0.0,6.264,0.01,0.0,0.007,0.19,49194.0,0.0
7000.0,0.0,0.0,0.0,0.1505,0.127,0.059,0.531,0.564,43.937,0.06,2.51,5.826,0.19,45770.0,0.3669
7000.0,2.82,0.0608,0.0714,0.1502,0.1278,0.059,0.534,0.563,44.222,0.06,2.505,5.777,0.19,45854.0,0.3634
7000.0,5.64,0.1215,0.1413,0.1501,0.1291,0.06,0.539,0.563,44.643,0.061,2.502,5.716,0.19,45956.0,0.3594
7000.0,8.46,0.1823,0.2092,0.15,0.1307,0.061,0.546,0.562,45.22,0.062,2.502,5.641,0.19,46078.0,0.3546
7000.0,11.28,0.2431,0.2745,0.1501,0.1329,0.062,0.555,0.563,45.971,0.063,2.503,5.552,0.19,46220.0,0.3491
7000.0,14.1,0.3039,0.3367,0.1503,0.1356,0.063,0.566,0.563,46.909,0.064,2.506,5.447,0.2,46385.0,0.3427
7000.0,16.92,0.3646,0.3953,0.1505,0.1389,0.064,0.58,0.564,48.04,0.066,2.51,5.329,0.2,46573.0,0.3356
7000.0,19.74,0.4254,0.4497,0.1508,0.1427,0.066,0.596,0.566,49.363,0.067,2.515,5.196,0.2,46786.0,0.3276
7000.0,22.56,0.4862,0.4997,0.1511,0.147,0.068,0.614,0.567,50.864,0.069,2.52,5.053,0.2,47023.0,0.3188
7000.0,25.38,0.547,0.5451,0.1513,0.1518,0.07,0.634,0.567,52.521,0.072,2.523,4.899,0.2,47286.0,0.3093
7000.0,28.2,0.6077,0.5859,0.1513,0.1569,0.073,0.656,0.567,54.293,0.074,2.523,4.739,0.2,47575.0,0.2992
7000.0,31.02,0.6685,0.6222,0.151,0.1622,0.075,0.678,0.566,56.123,0.077,2.518,4.575,0.2,47889.0,0.2885
7000.0,33.84,0.7293,0.6542,0.1502,0.1675,0.078,0.7,0.563,57.931,0.079,2.505,4.409,0.2,48229.0,0.2774
7000.0,36.66,0.7901,0.6822,0.1488,0.1723,0.08,0.72,0.558,59.616,0.081,2.482,4.245,0.2,48594.0,0.2658
7000.0,39.48,0.8508,0.7068,0.1466,0.1765,0.082,0.737,0.55,61.045,0.083,2.445,4.084,0.2,48984.0,0.2538
7000.0,42.3,0.9116,0.7284,0.1433,0.1794,0.083,0.749,0.537,62.05,0.085,2.39,3.928,0.2,49400.0,0.2414
