rpm,V_mph,J,Pe,Ct,Cp,Pwr_Hp,Torque_inlb,Thrust_lbf,Pwr_W,Torque_Nm,Thrust_N,Thr_Pwr_gW,Mach,Reyn,FOM
1000.0,0.0,0.0,0.0,0.0563,0.0247,0.0,0.004,0.007,0.048,0.0,0.033,68.756,0.03,7604.0,0.4324
1000.0,0.12,0.0152,0.0342,0.0555,0.0247,0.0,0.004,0.007,0.049,0.0,0.032,67.753,0.03,7606.0,0.4231
1000.0,0.23,0.0304,0.0674,0.0547,0.0247,0.0,0.004,0.007,0.049,0.0,0.032,66.715,0.03,7609.0,0.4135
1000.0,0.35,0.0456,0.0995,0.0538,0.0247,0.0,0.004,0.007,0.049,0.0,0.031,65.645,0.03,7612.0,0.4035
1000.0,0.46,0.0608,0.1304,0.0528,0.0246,0.0,0.004,0.007,0.048,0.0,0.031,64.544,0.03,7615.0,0.3931
1000.0,0.58,0.076,0.1601,0.0518,0.0246,0.0,0.004,0.007,0.048,0.0,0.03,63.411,0.03,7618.0,0.3824
1000.0,0.69,0.0912,0.1886,0.0507,0.0245,0.0,0.004,0.007,0.048,0.0,0.029,62.247,0.03,7621.0,0.3713
1000.0,0.81,0.1064,0.2158,0.0495,0.0244,0.0,0.004,0.006,0.048,0.0,0.029,61.051,0.03,7625.0,0.3599
1000.0,0.92,0.1217,0.2417,0.0482,0.0243,0.0,0.004,0.006,0.048,0.0,0.028,59.822,0.03,7629.0,0.3481
1000.0,1.04,0.1369,0.2662,0.0468,0.0241,0.0,0.004,0.006,0.047,0.0,0.027,58.559,0.03,7633.0,0.3359
1000.0,1.15,0.1521,0.2892,0.0454,0.0239,0.0,0.004,0.006,0.047,0.0,0.026,57.259,0.03,7637.0,0.3233
1000.0,1.27,0.1673,0.3107,0.0438,0.0236,0.0,0.004,0.006,0.046,0.0,0.025,55.92,0.03,7642.0,0.3103
1000.0,1.38,0.1825,0.3305,0.0422,0.0233,0.0,0.004,0.006,0.046,0.0,0.025,54.538,0.03,7646.0,0.2969
1000.0,1.5,0.1977,0.3487,0.0405,0.0229,0.0,0.004,0.005,0.045,0.0,0.023,53.106,0.03,7651.0,0.2831
1000.0,1.61,0.2129,0.365,0.0386,0.0225,0.0,0.004,0.005,0.044,0.0,0.022,51.62,0.03,7657.0,0.2689
1000.0,1.73,0.2281,0.3793,0.0367,0.0221,0.0,0.004,0.005,0.043,0.0,0.021,50.07,0.03,7662.0,0.2542
1000.0,1.84,0.2433,0.3915,0.0347,0.0216,0.0,0.004,0.005,0.042,0.0,0.02,48.446,0.03,7668.0,0.2391
1000.0,1.96,0.2585,0.4013,0.0326,0.021,0.0,0.003,0.004,0.041,0.0,0.019,46.737,0.03,7673.0,0.2235
1000.0,2.07,0.2737,0.4084,0.0304,0.0203,0.0,0.003,0.004,0.04,0.0,0.018,44.926,0.03,7680.0,0.2074
1000.0,2.19,0.2889,0.4126,0.0281,0.0197,0.0,0.003,0.004,0.039,0.0,0.016,42.997,0.03,7686.0,0.1909
1000.0,2.3,0.3041,0.4134,0.0257,0.0189,0.0,0.003,0.003,0.037,0.0,0.015,40.931,0.03,7693.0,0.1739
1000.0,2.42,0.3193,0.4105,0.0233,0.0181,0.0,0.003,0.003,0.036,0.0,0.014,38.703,0.03,7699.0,0.1565
1000.0,2.53,0.3345,0.4031,0.0208,0.0173,0.0,0.003,0.003,0.034,0.0,0.012,36.277,0.03,7706.0,0.1387
1000.0,2.65,0.3498,0.3904,0.0183,0.0164,0.0,0.003,0.002,0.032,0.0,0.011,33.607,0.03,7714.0,0.1204
1000.0,2.76,0.365,0.3713,0.0157,0.0154,0.0,0.003,0.002,0.03,0.0,0.009,30.631,0.03,7721.0,0.1017
1000.0,2.88,0.3802,0.3442,0.0131,0.0144,0.0,0.002,0.002,0.028,0.0,0.008,27.264,0.03,7729.0,0.0826
1000.0,3.0,0.3954,0.3071,0.0104,0.0134,0.0,0.002,0.001,0.026,0.0,0.006,23.386,0.03,7737.0,0.0632
1000.0,3.11,0.4106,0.2567,0.0077,0.0123,0.0,0.002,0.001,0.024,0.0,0.004,18.824,0.03,7746.0,0.0438
1000.0,3.23,0.4258,0.1883,0.0049,0.0112,0.0,0.002,0.001,0.022,0.0,0.003,13.319,0.03,7754.0,0.0248
1000.0,3.34,0.441,0.0947,0.0021,0.01,0.0,0.002,0.0,0.02,0.0,0.001,6.464,0.03,7763.0,0.0079
2000.0,0.0,0.0,0.0,0.0564,0.0227,0.0,0.015,0.029,0.358,0.002,0.131,37.358,0.06,15207.0,0.4703
2000.0,0.24,0.0155,0.038,0.0556,0.0228,0.0,0.015,0.029,0.358,0.002,0.129,36.772,0.06,15212.0,0.4597
2000.0,0.47,0.0311,0.0747,0.0548,0.0228,0.0,0.015,0.029,0.359,0.002,0.127,36.169,0.06,15218.0,0.4487
2000.0,0.71,0.0466,0.1101,0.0539,0.0228,0.0,0.015,0.028,0.359,0.002,0.125,35.548,0.06,15224.0,0.4372
2000.0,0.94,0.0622,0.1442,0.0529,0.0228,0.0,0.015,0.028,0.359,0.002,0.123,34.912,0.06,15230.0,0.4254
2000.0,1.18,0.0777,0.1769,0.0518,0.0228,0.0,0.015,0.027,0.358,0.002,0.12,34.26,0.06,15236.0,0.4133
2000.0,1.41,0.0933,0.2081,0.0507,0.0227,0.0,0.015,0.026,0.357,0.002,0.118,33.593,0.06,15244.0,0.4007
2000.0,1.65,0.1088,0.2379,0.0494,0.0226,0.0,0.015,0.026,0.356,0.002,0.115,32.911,0.06,15251.0,0.3878
2000.0,1.88,0.1244,0.2661,0.0481,0.0225,0.0,0.015,0.025,0.354,0.002,0.112,32.214,0.06,15259.0,0.3744
2000.0,2.12,0.1399,0.2928,0.0467,0.0223,0.0,0.015,0.024,0.351,0.002,0.108,31.5,0.06,15267.0,0.3608
2000.0,2.36,0.1555,0.3177,0.0452,0.0221,0.0,0.015,0.024,0.348,0.002,0.105,30.77,0.06,15276.0,0.3467
2000.0,2.59,0.171,0.341,0.0436,0.0219,0.0,0.015,0.023,0.344,0.002,0.101,30.021,0.06,15286.0,0.3322
2000.0,2.83,0.1866,0.3625,0.0419,0.0216,0.0,0.014,0.022,0.339,0.002,0.097,29.252,0.06,15295.0,0.3173
2000.0,3.06,0.2021,0.382,0.0401,0.0212,0.0,0.014,0.021,0.334,0.002,0.093,28.46,0.06,15306.0,0.302
2000.0,3.3,0.2176,0.3996,0.0382,0.0208,0.0,0.014,0.02,0.327,0.002,0.089,27.64,0.06,15316.0,0.2863
2000.0,3.53,0.2332,0.415,0.0362,0.0203,0.0,0.014,0.019,0.32,0.002,0.084,26.789,0.06,15328.0,0.2701
2000.0,3.77,0.2487,0.4279,0.0341,0.0198,0.0,0.013,0.018,0.312,0.001,0.079,25.901,0.06,15339.0,0.2534
2000.0,4.0,0.2643,0.4383,0.0319,0.0192,0.0,0.013,0.017,0.302,0.001,0.074,24.968,0.06,15352.0,0.2363
2000.0,4.24,0.2798,0.4457,0.0296,0.0186,0.0,0.012,0.015,0.292,0.001,0.069,23.981,0.06,15364.0,0.2186
2000.0,4.48,0.2954,0.4499,0.0272,0.0179,0.0,0.012,0.014,0.281,0.001,0.063,22.931,0.06,15377.0,0.2005
2000.0,4.71,0.3109,0.4503,0.0248,0.0171,0.0,0.011,0.013,0.269,0.001,0.058,21.805,0.06,15391.0,0.1819
2000.0,4.95,0.3265,0.4464,0.0223,0.0163,0.0,0.011,0.012,0.256,0.001,0.052,20.585,0.06,15405.0,0.1628
2000.0,5.18,0.342,0.4373,0.0197,0.0154,0.0,0.01,0.01,0.243,0.001,0.046,19.249,0.06,15420.0,0.1432
2000.0,5.42,0.3576,0.4219,0.0171,0.0145,0.0,0.01,0.009,0.228,0.001,0.04,17.764,0.06,15435.0,0.1231
2000.0,5.65,0.3731,0.3987,0.0144,0.0135,0.0,0.009,0.008,0.213,0.001,0.034,16.086,0.06,15451.0,0.1025
2000.0,5.89,0.3887,0.3653,0.0117,0.0125,0.0,0.008,0.006,0.196,0.001,0.027,14.15,0.06,15467.0,0.0812
2000.0,6.12,0.4042,0.3185,0.009,0.0114,0.0,0.008,0.005,0.179,0.001,0.021,11.861,0.06,15484.0,0.0596
2000.0,6.36,0.4197,0.253,0.0062,0.0103,0.0,0.007,0.003,0.161,0.001,0.014,9.075,0.06,15501.0,0.0378
2000.0,6.6,0.4353,0.1605,0.0033,0.0091,0.0,0.006,0.002,0.142,0.001,0.008,5.551,0.06,15519.0,0.017
2000.0,6.83,0.4508,0.0262,0.0005,0.0078,0.0,0.005,0.0,0.123,0.001,0.001,0.873,0.06,15538.0,0.001
3000.0,0.0,0.0,0.0,0.0565,0.0218,0.002,0.033,0.066,1.156,0.004,0.295,26.051,0.1,22811.0,0.4923
3000.0,0.35,0.0156,0.0398,0.0557,0.0218,0.002,0.033,0.065,1.158,0.004,0.291,25.629,0.1,22818.0,0.4809
3000.0,0.71,0.0312,0.0784,0.0549,0.0219,0.002,0.033,0.064,1.16,0.004,0.287,25.196,0.1,22827.0,0.4692
3000.0,1.06,0.0468,0.1155,0.0539,0.0219,0.002,0.033,0.063,1.161,0.004,0.282,24.751,0.1,22835.0,0.457
3000.0,1.42,0.0624,0.1511,0.0529,0.0219,0.002,0.033,0.062,1.161,0.004,0.277,24.297,0.1,22845.0,0.4444
3000.0,1.77,0.078,0.1853,0.0519,0.0218,0.002,0.033,0.061,1.16,0.004,0.271,23.832,0.1,22855.0,0.4315
3000.0,2.13,0.0936,0.2179,0.0507,0.0218,0.002,0.033,0.06,1.157,0.004,0.265,23.358,0.1,22866.0,0.4182
3000.0,2.48,0.1092,0.249,0.0495,0.0217,0.002,0.032,0.058,1.153,0.004,0.259,22.874,0.1,22877.0,0.4045
3000.0,2.84,0.1248,0.2784,0.0482,0.0216,0.002,0.032,0.057,1.146,0.004,0.252,22.381,0.1,22889.0,0.3904
3000.0,3.19,0.1404,0.3062,0.0467,0.0214,0.002,0.032,0.055,1.138,0.004,0.244,21.878,0.1,22901.0,0.376
3000.0,3.55,0.1561,0.3322,0.0452,0.0212,0.002,0.032,0.053,1.128,0.004,0.236,21.365,0.1,22915.0,0.3612
3000.0,3.9,0.1717,0.3565,0.0436,0.021,0.001,0.031,0.051,1.115,0.004,0.228,20.841,0.1,22929.0,0.346
3000.0,4.26,0.1873,0.3788,0.0419,0.0207,0.001,0.031,0.049,1.1,0.004,0.219,20.304,0.1,22944.0,0.3304
3000.0,4.61,0.2029,0.3993,0.0401,0.0204,0.001,0.03,0.047,1.081,0.003,0.209,19.753,0.1,22959.0,0.3144
3000.0,4.97,0.2185,0.4176,0.0382,0.02,0.001,0.03,0.045,1.06,0.003,0.199,19.185,0.1,22975.0,0.298
3000.0,5.32,0.2341,0.4337,0.0362,0.0195,0.001,0.029,0.042,1.036,0.003,0.189,18.597,0.1,22992.0,0.2811
3000.0,5.67,0.2497,0.4474,0.034,0.019,0.001,0.028,0.04,1.008,0.003,0.178,17.986,0.1,23010.0,0.2638
3000.0,6.03,0.2653,0.4585,0.0318,0.0184,0.001,0.028,0.037,0.978,0.003,0.166,17.345,0.1,23029.0,0.246
3000.0,6.38,0.2809,0.4665,0.0295,0.0178,0.001,0.027,0.035,0.944,0.003,0.154,16.669,0.1,23048.0,0.2277
3000.0,6.74,0.2965,0.4712,0.0271,0.0171,0.001,0.026,0.032,0.906,0.003,0.142,15.951,0.1,23068.0,0.2089
3000.0,7.09,0.3121,0.4721,0.0247,0.0163,0.001,0.024,0.029,0.866,0.003,0.129,15.182,0.1,23088.0,0.1896
3000.0,7.45,0.3277,0.4685,0.0222,0.0155,0.001,0.023,0.026,0.823,0.003,0.116,14.35,0.1,23110.0,0.1698
3000.0,7.8,0.3433,0.4596,0.0196,0.0146,0.001,0.022,0.023,0.777,0.002,0.102,13.437,0.1,23132.0,0.1495
3000.0,8.16,0.3589,0.4442,0.017,0.0137,0.001,0.02,0.02,0.727,0.002,0.089,12.42,0.1,23155.0,0.1286
3000.0,8.51,0.3745,0.4204,0.0143,0.0127,0.001,0.019,0.017,0.675,0.002,0.075,11.266,0.1,23179.0,0.107
3000.0,8.87,0.3901,0.3858,0.0116,0.0117,0.001,0.017,0.014,0.62,0.002,0.06,9.925,0.1,23203.0,0.0848
3000.0,9.22,0.4057,0.3365,0.0088,0.0106,0.001,0.016,0.01,0.562,0.002,0.046,8.324,0.1,23229.0,0.062
3000.0,9.58,0.4213,0.2664,0.006,0.0094,0.001,0.014,0.007,0.501,0.002,0.031,6.347,0.1,23255.0,0.039
3000.0,9.93,0.4369,0.1651,0.0031,0.0082,0.001,0.012,0.004,0.437,0.001,0.016,3.793,0.1,23282.0,0.0168
3000.0,10.29,0.4526,0.0135,0.0002,0.007,0.0,0.01,0.0,0.369,0.001,0.001,0.299,0.1,23310.0,0.0003
4000.0,0.0,0.0,0.0,0.0566,0.0212,0.004,0.056,0.118,2.662,0.006,0.526,20.137,0.13,30414.0,0.5077
4000.0,0.47,0.0156,0.0411,0.0558,0.0212,0.004,0.056,0.117,2.669,0.006,0.518,19.805,0.13,30424.0,0.4959
4000.0,0.95,0.0313,0.0808,0.0549,0.0212,0.004,0.056,0.115,2.674,0.006,0.51,19.464,0.13,30435.0,0.4836
4000.0,1.42,0.0469,0.1191,0.054,0.0213,0.004,0.057,0.113,2.677,0.006,0.502,19.114,0.13,30447.0,0.4709
4000.0,1.89,0.0625,0.1558,0.053,0.0213,0.004,0.057,0.111,2.678,0.006,0.493,18.757,0.13,30460.0,0.4578
4000.0,2.37,0.0782,0.191,0.0519,0.0213,0.004,0.057,0.108,2.675,0.006,0.483,18.393,0.13,30473.0,0.4443
4000.0,2.84,0.0938,0.2245,0.0508,0.0212,0.004,0.056,0.106,2.67,0.006,0.472,18.022,0.13,30487.0,0.4305
4000.0,3.32,0.1094,0.2565,0.0495,0.0211,0.004,0.056,0.103,2.66,0.006,0.46,17.645,0.13,30503.0,0.4163
4000.0,3.79,0.125,0.2867,0.0482,0.021,0.004,0.056,0.101,2.646,0.006,0.448,17.26,0.13,30519.0,0.4017
4000.0,4.26,0.1407,0.3153,0.0468,0.0209,0.004,0.056,0.098,2.628,0.006,0.435,16.87,0.13,30536.0,0.3868
4000.0,4.74,0.1563,0.342,0.0453,0.0207,0.003,0.055,0.095,2.604,0.006,0.421,16.472,0.13,30553.0,0.3715
4000.0,5.21,0.1719,0.367,0.0437,0.0205,0.003,0.054,0.091,2.575,0.006,0.406,16.066,0.13,30572.0,0.3559
4000.0,5.68,0.1876,0.39,0.042,0.0202,0.003,0.054,0.088,2.539,0.006,0.39,15.651,0.13,30592.0,0.3398
4000.0,6.16,0.2032,0.411,0.0401,0.0198,0.003,0.053,0.084,2.497,0.006,0.373,15.227,0.13,30613.0,0.3233
4000.0,6.63,0.2188,0.43,0.0382,0.0194,0.003,0.052,0.08,2.447,0.006,0.355,14.79,0.13,30634.0,0.3065
4000.0,7.1,0.2345,0.4466,0.0362,0.019,0.003,0.051,0.076,2.391,0.006,0.336,14.34,0.13,30657.0,0.2891
4000.0,7.58,0.2501,0.4609,0.0341,0.0185,0.003,0.049,0.071,2.326,0.006,0.316,13.872,0.13,30681.0,0.2714
4000.0,8.05,0.2657,0.4724,0.0318,0.0179,0.003,0.048,0.066,2.253,0.005,0.296,13.383,0.13,30705.0,0.2531
4000.0,8.53,0.2813,0.481,0.0295,0.0173,0.003,0.046,0.062,2.173,0.005,0.274,12.869,0.13,30731.0,0.2344
4000.0,9.0,0.297,0.4862,0.0271,0.0166,0.003,0.044,0.057,2.085,0.005,0.252,12.323,0.13,30758.0,0.2151
4000.0,9.47,0.3126,0.4875,0.0247,0.0158,0.003,0.042,0.052,1.99,0.005,0.229,11.739,0.13,30785.0,0.1954
4000.0,9.95,0.3282,0.4844,0.0221,0.015,0.003,0.04,0.046,1.888,0.005,0.206,11.108,0.13,30814.0,0.1752
4000.0,10.42,0.3439,0.4758,0.0196,0.0141,0.002,0.038,0.041,1.779,0.004,0.182,10.415,0.13,30844.0,0.1544
4000.0,10.89,0.3595,0.4605,0.0169,0.0132,0.002,0.035,0.035,1.662,0.004,0.157,9.642,0.13,30874.0,0.133
4000.0,11.37,0.3751,0.4367,0.0142,0.0122,0.002,0.033,0.03,1.539,0.004,0.132,8.763,0.13,30906.0,0.1108
4000.0,11.84,0.3908,0.4017,0.0115,0.0112,0.002,0.03,0.024,1.408,0.003,0.107,7.738,0.13,30939.0,0.088
4000.0,12.31,0.4064,0.3513,0.0087,0.0101,0.002,0.027,0.018,1.27,0.003,0.081,6.506,0.13,30973.0,0.0644
4000.0,12.79,0.422,0.2786,0.0059,0.0089,0.002,0.024,0.012,1.125,0.003,0.055,4.969,0.13,31008.0,0.0405
4000.0,13.26,0.4377,0.1719,0.003,0.0077,0.001,0.021,0.006,0.971,0.002,0.028,2.956,0.13,31044.0,0.0173
4000.0,13.74,0.4533,0.0085,0.0001,0.0064,0.001,0.017,0.0,0.81,0.002,0.001,0.141,0.13,31081.0,0.0002
5000.0,0.0,0.0,0.0,0.0567,0.0207,0.007,0.086,0.185,5.091,0.01,0.822,16.475,0.16,38018.0,0.5196
5000.0,0.59,0.0156,0.0421,0.0559,0.0208,0.007,0.086,0.182,5.105,0.01,0.811,16.199,0.16,38030.0,0.5074
5000.0,1.19,0.0313,0.0827,0.055,0.0208,0.007,0.086,0.18,5.117,0.01,0.799,15.916,0.16,38044.0,0.4947
5000.0,1.78,0.0469,0.1218,0.0541,0.0208,0.007,0.087,0.177,5.124,0.01,0.785,15.627,0.16,38059.0,0.4816
5000.0,2.37,0.0626,0.1593,0.0531,0.0209,0.007,0.087,0.173,5.126,0.01,0.771,15.332,0.16,38075.0,0.4681
5000.0,2.96,0.0782,0.1953,0.052,0.0208,0.007,0.087,0.17,5.123,0.01,0.755,15.031,0.16,38091.0,0.4542
5000.0,3.56,0.0939,0.2296,0.0509,0.0208,0.007,0.086,0.166,5.113,0.01,0.738,14.725,0.16,38109.0,0.44
5000.0,4.15,0.1095,0.2622,0.0496,0.0207,0.007,0.086,0.162,5.096,0.01,0.72,14.414,0.16,38128.0,0.4254
5000.0,4.74,0.1252,0.293,0.0483,0.0206,0.007,0.086,0.158,5.071,0.01,0.701,14.098,0.16,38148.0,0.4105
5000.0,5.33,0.1408,0.3222,0.0469,0.0205,0.007,0.085,0.153,5.036,0.01,0.68,13.777,0.16,38169.0,0.3952
5000.0,5.93,0.1565,0.3495,0.0454,0.0203,0.007,0.084,0.148,4.991,0.01,0.658,13.45,0.16,38192.0,0.3795
5000.0,6.52,0.1721,0.3749,0.0437,0.0201,0.007,0.083,0.143,4.934,0.009,0.635,13.118,0.16,38215.0,0.3635
5000.0,7.11,0.1878,0.3985,0.042,0.0198,0.007,0.082,0.137,4.866,0.009,0.61,12.78,0.16,38240.0,0.3471
5000.0,7.7,0.2034,0.42,0.0402,0.0195,0.006,0.081,0.131,4.785,0.009,0.583,12.433,0.16,38266.0,0.3303
5000.0,8.3,0.2191,0.4394,0.0383,0.0191,0.006,0.079,0.125,4.689,0.009,0.555,12.078,0.16,38293.0,0.313
5000.0,8.89,0.2347,0.4565,0.0362,0.0186,0.006,0.077,0.118,4.579,0.009,0.526,11.712,0.16,38322.0,0.2954
5000.0,9.48,0.2503,0.4712,0.0341,0.0181,0.006,0.075,0.111,4.454,0.009,0.495,11.333,0.16,38351.0,0.2773
5000.0,10.08,0.266,0.4831,0.0319,0.0175,0.006,0.073,0.104,4.313,0.008,0.463,10.938,0.16,38382.0,0.2587
5000.0,10.67,0.2816,0.4921,0.0295,0.0169,0.006,0.07,0.096,4.157,0.008,0.429,10.522,0.16,38414.0,0.2396
5000.0,11.26,0.2973,0.4977,0.0271,0.0162,0.005,0.067,0.089,3.985,0.008,0.394,10.081,0.16,38448.0,0.2201
5000.0,11.85,0.3129,0.4994,0.0247,0.0155,0.005,0.064,0.081,3.8,0.007,0.358,9.611,0.16,38482.0,0.2
5000.0,12.45,0.3286,0.4966,0.0221,0.0146,0.005,0.061,0.072,3.601,0.007,0.321,9.102,0.16,38518.0,0.1795
5000.0,13.04,0.3442,0.4884,0.0196,0.0138,0.005,0.057,0.064,3.388,0.006,0.284,8.544,0.16,38556.0,0.1583
5000.0,13.63,0.3599,0.4734,0.0169,0.0129,0.004,0.053,0.055,3.16,0.006,0.245,7.921,0.16,38594.0,0.1365
5000.0,14.22,0.3755,0.4497,0.0142,0.0119,0.004,0.049,0.046,2.919,0.006,0.206,7.211,0.16,38634.0,0.1139
5000.0,14.82,0.3912,0.4144,0.0115,0.0108,0.004,0.045,0.037,2.663,0.005,0.167,6.38,0.16,38675.0,0.0906
5000.0,15.41,0.4068,0.3633,0.0087,0.0097,0.003,0.04,0.028,2.393,0.005,0.126,5.377,0.16,38717.0,0.0664
5000.0,16.0,0.4225,0.2888,0.0059,0.0086,0.003,0.036,0.019,2.108,0.004,0.085,4.116,0.16,38761.0,0.0418
5000.0,16.59,0.4381,0.1779,0.003,0.0074,0.002,0.031,0.01,1.808,0.003,0.043,2.446,0.16,38806.0,0.0177
5000.0,17.19,0.4538,0.0051,0.0001,0.0061,0.002,0.025,0.0,1.492,0.003,0.001,0.068,0.16,38853.0,0.0001
6000.0,0.0,0.0,0.0,0.0568,0.0204,0.012,0.122,0.267,8.657,0.014,1.186,13.973,0.19,45621.0,0.5293
6000.0,0.71,0.0157,0.0429,0.056,0.0204,0.012,0.122,0.263,8.684,0.014,1.17,13.737,0.19,45636.0,0.5167
6000.0,1.42,0.0313,0.0842,0.0551,0.0205,0.012,0.123,0.259,8.705,0.014,1.152,13.494,0.19,45653.0,0.5037
6000.0,2.13,0.047,0.124,0.0542,0.0205,0.012,0.123,0.255,8.719,0.014,1.133,13.247,0.19,45670.0,0.4903
6000.0,2.85,0.0626,0.1622,0.0532,0.0205,0.012,0.123,0.25,8.725,0.014,1.112,12.994,0.19,45689.0,0.4765
6000.0,3.56,0.0783,0.1987,0.0521,0.0205,0.012,0.123,0.245,8.721,0.014,1.089,12.737,0.19,45710.0,0.4623
6000.0,4.27,0.0939,0.2335,0.051,0.0205,0.012,0.123,0.239,8.706,0.014,1.065,12.476,0.19,45731.0,0.4478
6000.0,4.98,0.1096,0.2667,0.0497,0.0204,0.012,0.122,0.234,8.678,0.014,1.039,12.211,0.19,45754.0,0.4329
6000.0,5.69,0.1252,0.298,0.0484,0.0203,0.012,0.122,0.227,8.635,0.014,1.011,11.942,0.19,45778.0,0.4176
6000.0,6.4,0.1409,0.3276,0.047,0.0202,0.012,0.121,0.221,8.577,0.014,0.981,11.669,0.19,45803.0,0.402
6000.0,7.12,0.1566,0.3554,0.0454,0.02,0.011,0.12,0.214,8.501,0.014,0.95,11.392,0.19,45830.0,0.3861
6000.0,7.83,0.1722,0.3813,0.0438,0.0198,0.011,0.118,0.206,8.405,0.013,0.916,11.111,0.19,45858.0,0.3698
6000.0,8.54,0.1879,0.4052,0.0421,0.0195,0.011,0.117,0.198,8.288,0.013,0.88,10.824,0.19,45888.0,0.3531
6000.0,9.25,0.2035,0.4271,0.0403,0.0192,0.011,0.115,0.189,8.149,0.013,0.842,10.531,0.19,45919.0,0.336
6000.0,9.96,0.2192,0.4469,0.0383,0.0188,0.011,0.112,0.18,7.985,0.013,0.801,10.232,0.19,45952.0,0.3185
6000.0,10.67,0.2348,0.4644,0.0363,0.0184,0.01,0.11,0.171,7.796,0.012,0.759,9.923,0.19,45986.0,0.3006
6000.0,11.39,0.2505,0.4794,0.0342,0.0178,0.01,0.107,0.161,7.581,0.012,0.714,9.604,0.19,46022.0,0.2822
6000.0,12.1,0.2661,0.4917,0.0319,0.0173,0.01,0.103,0.15,7.339,0.012,0.667,9.272,0.19,46059.0,0.2634
6000.0,12.81,0.2818,0.5011,0.0296,0.0166,0.009,0.1,0.139,7.07,0.011,0.619,8.923,0.19,46098.0,0.2441
6000.0,13.52,0.2975,0.507,0.0272,0.016,0.009,0.095,0.128,6.774,0.011,0.568,8.554,0.19,46138.0,0.2243
6000.0,14.23,0.3131,0.5091,0.0247,0.0152,0.009,0.091,0.116,6.455,0.01,0.517,8.16,0.19,46179.0,0.204
6000.0,14.94,0.3288,0.5067,0.0222,0.0144,0.008,0.086,0.104,6.111,0.01,0.463,7.735,0.19,46222.0,0.1831
6000.0,15.66,0.3444,0.4988,0.0196,0.0135,0.008,0.081,0.092,5.742,0.009,0.409,7.268,0.19,46267.0,0.1617
6000.0,16.37,0.3601,0.4841,0.0169,0.0126,0.007,0.075,0.08,5.349,0.009,0.354,6.746,0.19,46313.0,0.1396
6000.0,17.08,0.3757,0.4605,0.0142,0.0116,0.007,0.069,0.067,4.932,0.008,0.298,6.151,0.19,46361.0,0.1167
6000.0,17.79,0.3914,0.4253,0.0115,0.0106,0.006,0.063,0.054,4.49,0.007,0.24,5.453,0.19,46411.0,0.0929
6000.0,18.5,0.407,0.3737,0.0087,0.0095,0.005,0.057,0.041,4.022,0.006,0.182,4.608,0.19,46462.0,0.0683
6000.0,19.21,0.4227,0.298,0.0059,0.0083,0.005,0.05,0.028,3.528,0.006,0.122,3.538,0.19,46514.0,0.043
6000.0,19.93,0.4384,0.1841,0.003,0.0071,0.004,0.042,0.014,3.008,0.005,0.062,2.108,0.19,46569.0,0.0183
6000.0,20.64,0.454,0.0039,0.0,0.0058,0.003,0.035,0.0,2.461,0.004,0.001,0.043,0.19,46624.0,0.0
7000.0,0.0,0.0,0.0,0.0569,0.0201,0.018,0.164,0.364,13.575,0.019,1.618,12.15,0.22,53224.0,0.5374
7000.0,0.83,0.0157,0.0435,0.0561,0.0202,0.018,0.164,0.359,13.62,0.019,1.595,11.943,0.22,53242.0,0.5246
7000.0,1.66,0.0313,0.0854,0.0552,0.0202,0.018,0.165,0.353,13.655,0.019,1.571,11.73,0.22,53261.0,0.5113
7000.0,2.49,0.047,0.1258,0.0543,0.0203,0.018,0.165,0.347,13.68,0.019,1.545,11.514,0.22,53282.0,0.4976
7000.0,3.32,0.0626,0.1645,0.0533,0.0203,0.018,0.165,0.341,13.691,0.019,1.516,11.293,0.22,53304.0,0.4836
7000.0,4.15,0.0783,0.2015,0.0522,0.0203,0.018,0.165,0.334,13.687,0.019,1.486,11.068,0.22,53328.0,0.4691
7000.0,4.98,0.094,0.2368,0.0511,0.0203,0.018,0.165,0.327,13.665,0.019,1.453,10.84,0.22,53353.0,0.4544
7000.0,5.81,0.1096,0.2704,0.0498,0.0202,0.018,0.164,0.319,13.623,0.019,1.417,10.609,0.22,53379.0,0.4392
7000.0,6.64,0.1253,0.3022,0.0485,0.0201,0.018,0.164,0.31,13.558,0.018,1.379,10.374,0.22,53407.0,0.4237
7000.0,7.48,0.141,0.3322,0.0471,0.02,0.018,0.163,0.301,13.467,0.018,1.339,10.136,0.22,53437.0,0.4079
7000.0,8.31,0.1566,0.3603,0.0455,0.0198,0.018,0.161,0.291,13.348,0.018,1.295,9.895,0.22,53469.0,0.3917
7000.0,9.14,0.1723,0.3865,0.0439,0.0196,0.018,0.159,0.281,13.198,0.018,1.249,9.651,0.22,53502.0,0.3751
7000.0,9.97,0.1879,0.4108,0.0422,0.0193,0.017,0.157,0.27,13.015,0.018,1.2,9.402,0.22,53536.0,0.3582
7000.0,10.8,0.2036,0.4331,0.0403,0.019,0.017,0.154,0.258,12.795,0.017,1.148,9.149,0.22,53573.0,0.3409
7000.0,11.63,0.2193,0.4531,0.0384,0.0186,0.017,0.151,0.246,12.537,0.017,1.093,8.889,0.22,53611.0,0.3232
7000.0,12.46,0.2349,0.471,0.0364,0.0181,0.016,0.148,0.233,12.238,0.017,1.035,8.623,0.22,53651.0,0.305
7000.0,13.29,0.2506,0.4863,0.0342,0.0176,0.016,0.144,0.219,11.897,0.016,0.974,8.347,0.22,53692.0,0.2865
